id,nct_id,phase
398,NCT03840135,PHASE3
399,NCT04014335,PHASE2
400,NCT02661035,PHASE2
401,NCT00022035,NA
402,NCT03546335,PHASE1
403,NCT00467935,PHASE1
404,NCT00467935,PHASE2
405,NCT07343635,NA
406,NCT00555035,PHASE1
407,NCT00561535,PHASE2
408,NCT01504035,PHASE2
409,NCT01504035,PHASE3
410,NCT05277935,NA
411,NCT01497535,PHASE1
412,NCT00317135,PHASE3
413,NCT00880035,PHASE2
414,NCT00880035,PHASE3
415,NCT04007835,NA
416,NCT01565135,NA
417,NCT07589335,NA
418,NCT06730035,NA
419,NCT00752635,PHASE4
420,NCT06391008,PHASE2
421,NCT05222308,NA
422,NCT01561508,PHASE2
423,NCT05015608,PHASE3
424,NCT04296708,NA
425,NCT06610708,NA
426,NCT00940108,PHASE2
427,NCT03718208,NA
428,NCT00000708,NA
429,NCT02138708,NA
430,NCT04156308,NA
431,NCT04857008,NA
432,NCT06766708,NA
433,NCT03524508,PHASE2
434,NCT06981208,NA
435,NCT02437708,PHASE3
436,NCT00906308,PHASE3
437,NCT01675908,NA
438,NCT06777108,NA
439,NCT06322108,PHASE2
440,NCT01322308,PHASE4
441,NCT05694208,NA
442,NCT04535908,NA
443,NCT02320708,PHASE2
444,NCT00668408,PHASE4
445,NCT02166008,PHASE2
446,NCT02166008,PHASE3
447,NCT07542808,PHASE2
448,NCT07542808,PHASE3
449,NCT04428008,PHASE2
450,NCT05423808,NA
451,NCT05765708,NA
452,NCT03820908,PHASE2
453,NCT00472108,PHASE3
454,NCT07635108,NA
455,NCT05747625,PHASE1
456,NCT01126125,NA
457,NCT02543125,NA
458,NCT06161025,PHASE2
459,NCT06161025,PHASE3
460,NCT02106325,PHASE2
461,NCT05936125,NA
462,NCT04122625,PHASE1
463,NCT04122625,PHASE2
464,NCT05765825,PHASE2
465,NCT06895525,NA
466,NCT01258725,PHASE1
467,NCT03052725,PHASE3
468,NCT02078076,NA
469,NCT04286776,NA
470,NCT00876876,PHASE3
471,NCT01685476,PHASE4
472,NCT02734576,NA
473,NCT00740376,NA
474,NCT04876976,PHASE2
475,NCT04876976,PHASE3
476,NCT00252876,PHASE3
477,NCT07072676,NA
478,NCT06787976,PHASE4
479,NCT05714176,PHASE4
480,NCT05530876,NA
481,NCT05701917,NA
482,NCT02315417,PHASE3
483,NCT06587217,PHASE1
484,NCT06587217,PHASE2
485,NCT03983317,NA
486,NCT01140217,PHASE3
487,NCT01313117,PHASE1
488,NCT01313117,PHASE2
489,NCT00910117,PHASE2
490,NCT03576417,PHASE3
491,NCT05906017,NA
492,NCT02752217,NA
493,NCT06509217,NA
494,NCT05344417,NA
495,NCT05012917,NA
496,NCT06757517,PHASE2
497,NCT05766540,PHASE4
498,NCT04133740,PHASE4
499,NCT04930640,NA
500,NCT06922240,PHASE3
501,NCT06731140,PHASE2
502,NCT05147740,PHASE4
503,NCT02108340,NA
504,NCT06307340,NA
505,NCT06112340,PHASE2
506,NCT06112340,PHASE3
507,NCT01730040,PHASE3
508,NCT00037089,PHASE2
509,NCT01941589,PHASE4
510,NCT05585489,NA
511,NCT00220389,PHASE2
512,NCT07658989,NA
513,NCT04941989,PHASE1
514,NCT06643689,PHASE2
515,NCT07460089,NA
516,NCT04553289,NA
517,NCT06799689,NA
518,NCT02652689,NA
519,NCT04449289,PHASE2
520,NCT02629289,PHASE1
521,NCT03206489,NA
522,NCT02486289,PHASE2
523,NCT04568889,NA
